8_puzzle	eta_pajZala#eta_pajZala#noun#2#RM
associative_search	asosetiva_sarca/jodZane_vAlI_Koja#asosetiva_sarca/jodZane_vAlI_Koja#noun#2#RM
attack_sequence	atEka_sIkvansa#atEka_sIkvansa#noun#2#RM
auto_navigator_problem	oYto_nevigetara_samasyA/oYto_nevigetara_prAblama#oYto_nevigetara_samasyA/oYto_nevigetara_prAblama#noun#3#RM
b_star	bI_stAra#bI_stAra#noun#2#RM
b_star_algorithm	bI_stAra_elgorixama#bI_stAra_elgorixama#noun#3#RM
back_propagation	bEka_proYpageSana/vApasa_saMcaraNa#bEka_proYpageSana/vApasa_saMcaraNa#noun#2#RM
back_propagation_algorithm	bEka_proYpageSana_elgorixama/vApasa_saMcaraNa_kalana_viXi#bEka_proYpageSana_elgorixama/vApasa_saMcaraNa_kalana_viXi#noun#3#RM
back_propagation_network	vApasa_saMcaraNa_netavarka/bEka_proYpageSana_netavarka#vApasa_saMcaraNa_netavarka/bEka_proYpageSana_netavarka#noun#3#RM
back_propagation_neural_network	bEka_proYpageSana_nyUrala_netavarka/vApasa_saMcaraNa_waMwrikA_netavarka#bEka_proYpageSana_nyUrala_netavarka/vApasa_saMcaraNa_waMwrikA_netavarka#noun#4#RM
back_up_value	bEka_apa_vElyU#bEka_apa_vElyU#noun#3#RM
backward_chaining	bEkavarda_ceniMga#bEkavarda_ceniMga#noun#2#RM
backward_chaining_mechanism	bEkavarda_cEniMga_mekEnijZma#bEkavarda_cEniMga_mekEnijZma#noun#3#RM
backward_chaining_process	bEkavarda_ceniMga_prosesa#bEkavarda_ceniMga_prosesa#noun#3#RM
backward_planning	bEkavarda_plAniMga#bEkavarda_plAniMga#noun#2#RM
backward_reasoning	bEkavarda_rIjZaniMga#bEkavarda_rIjZaniMga#noun#2#RM
backward_reasoning_process	bEkavarda_rIjZaniMga_proYsesa#bEkavarda_rIjZaniMga_proYsesa#noun#3#RM
backward_state_space_planning	bEkavarda_steta_spesa_plAniMga#bEkavarda_steta_spesa_plAniMga#noun#4#RM
basic_building_blocks	besika_bildiMga_bloYksa#besika_bildiMga_bloYksa#noun#3#RM
bays_formula	besa_PArmulA#besa_PArmulA#noun#2#RM
beam_search	bIma_sarca#bIma_sarca#noun#2#RM
best_first_search	besta_Parsta_sarca#besta_Parsta_sarca#noun#3#RM
beta_cutoff	bItA_kataoYPa#bItA_kataoYPa#noun#2#RM
binary_neuron	bAinarI_nyUroYna#bAinarI_nyUroYna#noun#2#RM
binary_tree	bAinarI_trI#bAinarI_trI#noun#2#RM
binary_value	bAinarI_vElyU#bAinarI_vElyU#noun#2#RM
black_box	blEka_boYksa#blEka_boYksa#noun#2#RM
blind_search	nirmUla_Koja/blAiMda_sarca#nirmUla_Koja/blAiMda_sarca#noun#2#RM
blind_search_methods	nirmUla_Koja_viXiyoM/blAiMda_sarca_meWadsa#nirmUla_Koja_viXiyoM/blAiMda_sarca_meWadsa#noun#3#RM
blocks_world_problem	bloYksa_varlda_problama#bloYksa_varlda_problama#noun#3#RM
book_move	buka_mUva#buka_mUva#noun#2#RM
book_moves	buka_mUvaja#buka_mUvaja#noun#2#RM
branch_and_bound	brAMca_eMda_bAuMda/brAMca_Ora_bAuMda#brAMca_eMda_bAuMda/brAMca_Ora_bAuMda#noun#3#RM
branch_and_bound_search	brAMca_eMda_bAuMda_sarca#brAMca_eMda_bAuMda_sarca#noun#4#RM
branch_in_bound	brAMca_ina_bAuMda#brAMca_ina_bAuMda#noun#3#RM
branching_factor	praSAKI_Gataka/brEMciMga_PEktara/brAMciMga_PEktara#praSAKI_Gataka/brEMciMga_PEktara/brAMciMga_PEktara#noun#2#RM
breadth-first_search	bredaWa-Parsta_sarca#bredaWa-Parsta_sarca#noun#2#RM
breadth_first	bredWa_Parsta#bredWa_Parsta#noun#2#RM
breadth_first_search	bredWa_Parsta_sarca#bredWa_Parsta_sarca#noun#3#RM
breadth_first_search_methods	bredWa_Parsta_sarca_meWadsa#bredWa_Parsta_sarca_meWadsa#noun#4#RM
building_entities	bildiMga_eMtitIja#bildiMga_eMtitIja#noun#2#RM
calling_node	koYliMga_noda#koYliMga_noda#noun#2#RM
candidate_structures	kEMdideta_saMracanAez/kEMdideta_saMracanAoM#kEMdideta_saMracanAez/kEMdideta_saMracanAoM#noun#2#RM
card_playing_program	kArda_pleIMga_progrAma#kArda_pleIMga_progrAma#noun#3#RM
cascading_effect	kEskediMga_iPekta#kEskediMga_iPekta#noun#2#RM
case_based_planning	mAmalA_AXAriwa_plAniMga/kesa_besda_plAniMga#mAmalA_AXAriwa_plAniMga/kesa_besda_plAniMga#noun#3#RM
case_based_reasoning	mAmalA_AXAriwa_warka/kesa_besda_rIjZaniMga#mAmalA_AXAriwa_warka/kesa_besda_rIjZaniMga#noun#3#RM
causal_relationship	koYjZala_rileSanSipa#koYjZala_rileSanSipa#noun#2#RM
cause_effect_relationship	koYjZa_iPekta_rileSanSipa#koYjZa_iPekta_rileSanSipa#noun#3#RM
certainty_factor	sartentI_PEktara#sartentI_PEktara#noun#2#RM
character_recognition	akRara_pahacAna/kEriktara_rekagniSana#akRara_pahacAna/kEriktara_rekagniSana#noun#2#RM
character_recognition_system	kErektara_rekagniSana_sistama#kErektara_rekagniSana_sistama#noun#3#RM
checkers_game	cekarsa_gema#cekarsa_gema#noun#2#RM
checkers_program	cekarsa_progrAma#cekarsa_progrAma#noun#2#RM
chemical_compound	yOgika_paxArWa/kemikala_kaMpAuMda#yOgika_paxArWa/kemikala_kaMpAuMda#noun#2#RM
chess_player_program	cesa_pleyara_progrAma#cesa_pleyara_progrAma#noun#3#RM
chess_playing_algorithm	cesa_pleIMga_elgorixama#cesa_pleIMga_elgorixama#noun#3#RM
chess_playing_program	cesa_pleIMga_progrAma#cesa_pleIMga_progrAma#noun#3#RM
clausal_form	kloYjZala_PoYrma#kloYjZala_PoYrma#noun#2#RM
client_node	klAyanta_noda#klAyanta_noda#noun#2#RM
combination_and_permutation	saMcaya_Ora_kramacaya/koYmbineSana_eMda_paramuteSana#saMcaya_Ora_kramacaya/koYmbineSana_eMda_paramuteSana#noun#3#RM
combinations_and_permutations	saMcaya_Ora_kramacaya/koYmbineSana_eMda_paramuteSana/koYmbineSana_Ora_paramuteSana#saMcaya_Ora_kramacaya/koYmbineSana_eMda_paramuteSana/koYmbineSana_Ora_paramuteSana#noun#3#RM
combinatorial_explosion	koYmbInetoriyala_ekspalojZana/saMcayavinyAsa_visPota/koYmbinetoriyala_eksaploSana#koYmbInetoriyala_ekspalojZana/saMcayavinyAsa_visPota/koYmbinetoriyala_eksaploSana#noun#2#RM
combinatorial_explosion_problem	koYmbInetoriyala_eksaplojana_problama#koYmbInetoriyala_eksaplojana_problama#noun#3#RM
complete_information	pUrI_jAnakArI#pUrI_jAnakArI#noun#2#RM
complete_network	saMpUrNa_netavarka/kamplIta_netavarka#saMpUrNa_netavarka/kamplIta_netavarka#noun#2#RM
complimentary_literal	samapUraka_SAbxika/koYmplimeMtarI_litarala#samapUraka_SAbxika/koYmplimeMtarI_litarala#noun#2#RM
composite_structure	yOgika_saMracanA/kampojita_strakcara#yOgika_saMracanA/kampojita_strakcara#noun#2#RM
computational_biology_problem	kampyUteSanala_bAyoloYjI_proYblama#kampyUteSanala_bAyoloYjI_proYblama#noun#3#RM
computer_address_space	kampyUtara_Edresa_spesa#kampyUtara_Edresa_spesa#noun#3#RM
computer_domain	kaMpyUtara_domena#kaMpyUtara_domena#noun#2#RM
computer_neuron	kaMpyUtara_nyUroYna#kaMpyUtara_nyUroYna#noun#2#RM
computer_processor	kaMpyUtara_prosesara#kaMpyUtara_prosesara#noun#2#RM
computer_processors	kaMpyUtara_prosesarsa#kaMpyUtara_prosesarsa#noun#2#RM
computer_program	kaMpyUtara_progrAma#kaMpyUtara_progrAma#noun#2#RM
computer_programs	kaMpyUtara_progrAma/kaMpyUtara_progrAmsa#kaMpyUtara_progrAma/kaMpyUtara_progrAmsa#noun#2#RM
computer_science	kaMpyUtara_vijFAna/kaMpyUtara_sAinsa#kaMpyUtara_vijFAna/kaMpyUtara_sAinsa#noun#2#RM
computer_scientist	saMgaNaka_vEjFAnika/kaMpyUtara_sAiMtista#saMgaNaka_vEjFAnika/kaMpyUtara_sAiMtista#noun#2#RM
computer_scientists	kaMpyUtara_sAiMtista#kaMpyUtara_sAiMtista#noun#2#RM
computer_systems	saMgaNaka_waMwra/kaMpyUtara_sistama#saMgaNaka_waMwra/kaMpyUtara_sistama#noun#2#RM
computing_power	kaMpyUtiMga_poYvara#kaMpyUtiMga_poYvara#noun#2#RM
conceptual_categories	kaMsepcyula_kEtegarIja#kaMsepcyula_kEtegarIja#noun#2#RM
conceptual_dependency	kaMsepcyula_dipeMdaMsI/vEcArika_nirBarawA#kaMsepcyula_dipeMdaMsI/vEcArika_nirBarawA#noun#2#RM
conceptual_entity	kaMsepcyula_eMtitI#kaMsepcyula_eMtitI#noun#2#RM
conceptual_role	kaMsepcyula_rola#kaMsepcyula_rola#noun#2#RM
conceptual_roles	kaMsepcyula_rolsa#kaMsepcyula_rolsa#noun#2#RM
conceptual_rules	kaMsepcyula_rUlsa#kaMsepcyula_rUlsa#noun#2#RM
conceptual_tense	kaMsepcyula_teMsa#kaMsepcyula_teMsa#noun#2#RM
conceptual_tenses	kaMsepcyula_teMsesa#kaMsepcyula_teMsesa#noun#2#RM
constant_value	sWira_mAna/koYnstenta_vElyU#sWira_mAna/koYnstenta_vElyU#noun#2#RM
constraint_satisfaction	vyavaroXa_saMwuRti/kansatreMta_sEtisaPEkSana#vyavaroXa_saMwuRti/kansatreMta_sEtisaPEkSana#noun#2#RM
constructive_search	racanAwmaka_Koja/kaMstraktiva_sarca#racanAwmaka_Koja/kaMstraktiva_sarca#noun#2#RM
constructive_search_methods	racanAwmaka_Koja_viXiyAz/kaMstraktiva_sarca_meWadsa#racanAwmaka_Koja_viXiyAz/kaMstraktiva_sarca_meWadsa#noun#3#RM
conventional_depth_first_search	kanveMSanala_depWa_Parsta_sarca#kanveMSanala_depWa_Parsta_sarca#noun#4#RM
credit_assignment_problem	kredita_asAinameMta_proYblama#kredita_asAinameMta_proYblama#noun#3#RM
cumulative_value	saMcayI_mAna/kyUmUletiva_vElyU#saMcayI_mAna/kyUmUletiva_vElyU#noun#2#RM
current_goal	kareMta_gola#kareMta_gola#noun#2#RM
current_node	kareMta_noda#kareMta_noda#noun#2#RM
current_packet	kareMta_pEketa#kareMta_pEketa#noun#2#RM
current_percept	kareMta_parasepta#kareMta_parasepta#noun#2#RM
current_state	kareMta_steta#kareMta_steta#noun#2#RM
cut-off_value	kata-oYPa_velyU#kata-oYPa_velyU#noun#2#RM
cut_off_value	kata_oYPa_vElyU#kata_oYPa_vElyU#noun#3#RM
cyclic_crossover	cakrIya_kroYsaovara/sAyaklika_kroYsaovara#cakrIya_kroYsaovara/sAyaklika_kroYsaovara#noun#2#RM
data_loss	detA_loYsa#detA_loYsa#noun#2#RM
data_structure	detA_strakcara#detA_strakcara#noun#2#RM
database_server_problem	detAbesa_sarvara_proYblama#detAbesa_sarvara_proYblama#noun#3#RM
database_servers	detAbesa_sarvarsa#detAbesa_sarvarsa#noun#2#RM
decision_surface	nirNaya_sawaha/disiSana_saraPesa#nirNaya_sawaha/disiSana_saraPesa#noun#2#RM
decision_surfaces	nirNaya_sawahoM/disiSana_saraPesesa#nirNaya_sawahoM/disiSana_saraPesesa#noun#2#RM
deep_blue	dIpa_blU#dIpa_blU#noun#2#RM
deep_learning	dIpa_larniMga#dIpa_larniMga#noun#2#RM
deep_thought	dIpa_WoYta#dIpa_WoYta#noun#2#RM
deep_thought_two	dIpa_WoYta_tU#dIpa_WoYta_tU#noun#3#RM
default_assumption	diPZoYlta_asampSana#diPZoYlta_asampSana#noun#2#RM
default_assumptions	diPZoYlta_asampSansa#diPZoYlta_asampSansa#noun#2#RM
degree_of_freedom	digrI_oYPa_Pridama/digrI_oYPa_PrIdama#digrI_oYPa_Pridama/digrI_oYPa_PrIdama#noun#3#RM
delta_one	deltA_vana#deltA_vana#noun#2#RM
delta_two	deltA_tU#deltA_tU#noun#2#RM
denial_of_service_attack	dinAyala_oYPa_sarvisa_atEka#dinAyala_oYPa_sarvisa_atEka#noun#4#RM
dense_neighborhood	deMsa_nebarahuda#deMsa_nebarahuda#noun#2#RM
dense_neighborhood_function	densa_nebarahuda_PaMkSana/deMsa_nebarahuda_PaMkSana#densa_nebarahuda_PaMkSana/deMsa_nebarahuda_PaMkSana#noun#3#RM
dense_neighbourhood	densa_nebarahuda#densa_nebarahuda#noun#2#RM
dense_neighbourhood_function	densa_nebarahuda_PaMkSana#densa_nebarahuda_PaMkSana#noun#3#RM
dependency_driven_backtracking	nirBarawA_saMcAliwa_bEkatrEkiMga/dipeMdaMsI_drivana_bEkatrEkiMga#nirBarawA_saMcAliwa_bEkatrEkiMga/dipeMdaMsI_drivana_bEkatrEkiMga#noun#3#RM
dependency_driven_reasoning	nirBarawA_saMcAliwa_warka/dipeMdaMsI_drivana_rIjZaniMga#nirBarawA_saMcAliwa_warka/dipeMdaMsI_drivana_rIjZaniMga#noun#3#RM
depth-first_search	depWa_Parsta_sarca/depWa-Parsta_sarca#depWa_Parsta_sarca/depWa-Parsta_sarca#noun#2#RM
depth_bound	depWa_bAuMda#depWa_bAuMda#noun#2#RM
depth_bound_depth-first_search	depWa_bAuMda_depWa_Parsta_sarca#depWa_bAuMda_depWa_Parsta_sarca#noun#4#RM
depth_bound_search	depWa_bAuMda_sarca#depWa_bAuMda_sarca#noun#3#RM
depth_first_depth_limited	depWa_Parsta_depWa_limiteda#depWa_Parsta_depWa_limiteda#noun#4#RM
depth_first_iterative_deepening	depWa_Parsta_itaretiva_dIpaniMga#depWa_Parsta_itaretiva_dIpaniMga#noun#4#RM
depth_first_iterative_deepening_search	depWa_Parsta_itaretiva_dIpaniMga_sarca#depWa_Parsta_itaretiva_dIpaniMga_sarca#noun#5#RM
depth_first_search	depWa_Parsta_sarca#depWa_Parsta_sarca#noun#3#RM
depth_limited	depWa_limiteda#depWa_limiteda#noun#2#RM
depth_value	depWa_vElyU#depWa_vElyU#noun#2#RM
detailed_planning	ditelda_plAniMga#ditelda_plAniMga#noun#2#RM
direction_relationship	direkSana_rileSanSipa#direkSana_rileSanSipa#noun#2#RM
discrete_function	diskrIta_PaMkSana#diskrIta_PaMkSana#noun#2#RM
distance_matrix	xUrI_AvyUha/distansa_mEtriksa#xUrI_AvyUha/distansa_mEtriksa#noun#2#RM
distributed_storage	viwariwa_saMcayana/distribyUteda_storeja#viwariwa_saMcayana/distribyUteda_storeja#noun#2#RM
domain_knowledge	domena_jFAna/domena_noYleja#domena_jFAna/domena_noYleja#noun#2#RM
draught_game	drAPta_gema#drAPta_gema#noun#2#RM
dummy_variable	ABAsI_cara/damI_variebala#ABAsI_cara/damI_variebala#noun#2#RM
effect_link	iPekta#iPekta#noun#2#RM
eight_puzzle	eita_pajZala/eta_pajZala#eita_pajZala/eta_pajZala#noun#2#RM
electrochemical_reactions	vixyuwa_rAsAyanika_prawikriyAoM/ilektrokemikala_riektAnsa#vixyuwa_rAsAyanika_prawikriyAoM/ilektrokemikala_riektAnsa#noun#2#RM
electrochemical_signal	vixyuwa_rAsAyanika_saMkewa/ilektrokemikala_signala#vixyuwa_rAsAyanika_saMkewa/ilektrokemikala_signala#noun#2#RM
electromagnetic_waves	vixyuwa_cumbakIya_waraMgoM/ilektromEgnetAika_vevajZa#vixyuwa_cumbakIya_waraMgoM/ilektromEgnetAika_vevajZa#noun#2#RM
end_state	eMda_steta#eMda_steta#noun#2#RM
end_states	eMda_stetsa#eMda_stetsa#noun#2#RM
entity_relationship_diagram	eMtitI_rileSanaSipa_dAyagrAma#eMtitI_rileSanaSipa_dAyagrAma#noun#3#RM
epoch_value	Ipoka_vElyU#Ipoka_vElyU#noun#2#RM
existential_and_universal_quantifier	aswiwvagawa_Ora_sArvaBOmika_parimANaka/eksistenSiyala_eMda_yUnivarsala_kvAMtiPAyara#aswiwvagawa_Ora_sArvaBOmika_parimANaka/eksistenSiyala_eMda_yUnivarsala_kvAMtiPAyara#noun#4#RM
existential_quantifier	aswiwvagawa_parimANaka/eksistenSiyala_kvAMtiPAyara#aswiwvagawa_parimANaka/eksistenSiyala_kvAMtiPAyara#noun#2#RM
expert_system	viSeRajFa_praNAlI/eksaparta_sistama#viSeRajFa_praNAlI/eksaparta_sistama#noun#2#RM
expert_systems	eksaparta_sistamsa#eksaparta_sistamsa#noun#2#RM
exploration_process	anveRaNa_prakriyA/eksaploreSana_prosesa#anveRaNa_prakriyA/eksaploreSana_prosesa#noun#2#RM
explored_node	eksaplorda_noda#eksaplorda_noda#noun#2#RM
explored_nodes	anaeksaplorada_nodsa/eksaplorada_nodsa/eksaplorda_nodsa#anaeksaplorada_nodsa/eksaplorada_nodsa/eksaplorda_nodsa#noun#2#RM
face_detection_systems	Pesa_ditekSanasistamsa#Pesa_ditekSanasistamsa#noun#3#RM
fault_tolerance	PAlta_tolareMsa#PAlta_tolareMsa#noun#2#RM
fault_tolerant	PAlta_toYlareMta/PAlta_tolereMta#PAlta_toYlareMta/PAlta_tolereMta#noun#2#RM
feed_forward	PIda_PoYrvarda#PIda_PoYrvarda#noun#2#RM
feed_forward_network	PIda_PoYrvarda_netavarka#PIda_PoYrvarda_netavarka#noun#3#RM
felder-silverman_model	Peldara-silvaramEna_moYdala#Peldara-silvaramEna_moYdala#noun#2#RM
final_node	PAinala_noda#PAinala_noda#noun#2#RM
final_state	aMwima_avasWA/PAinala_steta/AraMBika_avasWA#aMwima_avasWA/PAinala_steta/AraMBika_avasWA#noun#2#RM
final_states	aMwima_avasWAez/PAinala_stetsa/aMwima_avasWAoM#aMwima_avasWAez/PAinala_stetsa/aMwima_avasWAoM#noun#2#RM
fingerprint_recognition	PiMgarapriMta_pahacAna/PiMgarapriMta_rikagniSana#PiMgarapriMta_pahacAna/PiMgarapriMta_rikagniSana#noun#2#RM
first_order_predicate_logic	praWama_krama_nirXAraka_warka/Parsta_oYrdara_predIketa_loYjika#praWama_krama_nirXAraka_warka/Parsta_oYrdara_predIketa_loYjika#noun#4#RM
fitness_function	Pitanesa_PaMkSana#Pitanesa_PaMkSana#noun#2#RM
fitness_values	Pitanesa_mAna/Pitanesa_vElyUjZa/Pitanesa_velyUja#Pitanesa_mAna/Pitanesa_vElyUjZa/Pitanesa_velyUja#noun#2#RM
formal_logic	rUpAwmaka_warka/PoYrmala_loYjika#rUpAwmaka_warka/PoYrmala_loYjika#noun#2#RM
forward_planning	PoYrvarda_plAniMga#PoYrvarda_plAniMga#noun#2#RM
forward_reasoning	PoYrvarda_rIjZaniMga#PoYrvarda_rIjZaniMga#noun#2#RM
forward_reasoning_process	PoYvarda_rIjZaniMga_proYsesa#PoYvarda_rIjZaniMga_proYsesa#noun#3#RM
forward_state_space_planning	PoYrvarda_steta_spesa_plAniMga#PoYrvarda_steta_spesa_plAniMga#noun#4#RM
frame_system	Prema_sistama#Prema_sistama#noun#2#RM
frame_work	Prema_varka#Prema_varka#noun#2#RM
fuzzy_boundary	PajI_bAundrI#PajI_bAundrI#noun#2#RM
fuzzy_logic	PajI_loYjika#PajI_loYjika#noun#2#RM
fuzzy_logic_system	PajI_loYjika_sistama#PajI_loYjika_sistama#noun#3#RM
fuzzy_logic_values	PajI_loYjika_vElyUja#PajI_loYjika_vElyUja#noun#3#RM
fuzzy_reasoning	PajI_rIjZaniMga#PajI_rIjZaniMga#noun#2#RM
fuzzy_set	PajI_seta#PajI_seta#noun#2#RM
fuzzy_sets	PajI_setsa#PajI_setsa#noun#2#RM
g_plus_h	jI_plasa_eca#jI_plasa_eca#noun#3#RM
g_plus_h_dash	jI_plasa_eca_dESa#jI_plasa_eca_dESa#noun#4#RM
g_plus_h_dash_value	jI_plasa_eca_dESa_vElyU#jI_plasa_eca_dESa_vElyU#noun#5#RM
g_plus_h_value	jI_plasa_eca_vElyU#jI_plasa_eca_vElyU#noun#4#RM
g_plus_s_h_dash	jI_plasa_esa_eca_dESa#jI_plasa_esa_eca_dESa#noun#5#RM
game_playing	Kela_KelanA/gema_pleIMga/Kela_Kelane#Kela_KelanA/gema_pleIMga/Kela_Kelane#noun#2#RM
game_playing_algorithms	Kela_Kelane_kI_kalana_viXi/gema_pleIMga_elgorixamoM/Kela_Kelane_kI_kalana_viXiyoM/gema_pleIMga_elgorixamsa#Kela_Kelane_kI_kalana_viXi/gema_pleIMga_elgorixamoM/Kela_Kelane_kI_kalana_viXiyoM/gema_pleIMga_elgorixamsa#noun#3#RM
game_playing_program	gema_pleIMga_progrAma#gema_pleIMga_progrAma#noun#3#RM
game_playing_programs	gema_pleIMga_progrAmsa#gema_pleIMga_progrAmsa#noun#3#RM
game_tree	gema_trI#gema_trI#noun#2#RM
generate_and_test	janareta_eMda_testa#janareta_eMda_testa#noun#3#RM
genetic_algorithm	jenetika_elgoriWama/jenetika_elgorixama#jenetika_elgoriWama/jenetika_elgorixama#noun#2#RM
genetic_algorithms	anuvAMSika_kalana_viXi/jenetika_elgorixama/anuvAMSika_kalanaviXiyoM/jenetika_elgorixamsa/jenetika_elgoriWamsa#anuvAMSika_kalana_viXi/jenetika_elgorixama/anuvAMSika_kalanaviXiyoM/jenetika_elgorixamsa/jenetika_elgoriWamsa#noun#2#RM
genetic_map	AnuvaMSika_nakSA/jenetika_mEpa#AnuvaMSika_nakSA/jenetika_mEpa#noun#2#RM
geometric_mean	jyAmiwIya_mAXyaka/jiometrika_mIna#jyAmiwIya_mAXyaka/jiometrika_mIna#noun#2#RM
global_heuristic	globala_hyUristika#globala_hyUristika#noun#2#RM
global_heuristic_function	globala_hyUristika_PaMkSana#globala_hyUristika_PaMkSana#noun#3#RM
goal_directed_reasoning	lakRya_nirxeSiwa_warka/gola_dAyarekteda_rIjZaniMga#lakRya_nirxeSiwa_warka/gola_dAyarekteda_rIjZaniMga#noun#3#RM
goal_driven_or_expectancy_driven_reasoning	gola_drivana_ora_ekpektansI_drivana_rIjaniMga#gola_drivana_ora_ekpektansI_drivana_rIjaniMga#noun#6#RM
goal_node	gola_noda/lakRya_noda#gola_noda/lakRya_noda#noun#2#RM
goal_stack_planning	gola_stEka_plAniMga#gola_stEka_plAniMga#noun#3#RM
goal_state	gola_steta/lakRiwa_avasWA#gola_steta/lakRiwa_avasWA#noun#2#RM
graph_traversal_algorithms	grAPa_trEvarsala_elgorixama#grAPa_trEvarsala_elgorixama#noun#3#RM
green_nodes	grIna_nodsa#grIna_nodsa#noun#2#RM
guided_search	nirxeSiwa_Koja_viXi/gAideda_sarca#nirxeSiwa_Koja_viXi/gAideda_sarca#noun#2#RM
guided_search_method	nirxeSiwa_Koja_viXi/gAideda_sarca_meWada#nirxeSiwa_Koja_viXi/gAideda_sarca_meWada#noun#3#RM
